molecule,method,vqe_energy,hf_energy,exact_energy,error_vs_exact,error_vs_hf,iterations
alanine,unknown,,136.5922174937,,,,
arginine,unknown,,381.8539863175,,,,
aspartic_acid,unknown,,265.9749816949,,,,
cysteine,unknown,,220.0246479835,,,,
glycine,unknown,,101.7554398992,,,,
