molecule_abbrev,molecule_name,algorithm,calculated_energy,reference_energy,error,relative_error,n_iterations,n_qubits,n_parameters,runtime_seconds,converged,backend_type,noise_model,noise_strength,hf_energy
ala,alanine,cb_vqe,-319.14014224980315,-317.69135,-1.448792249803148,0.004560376761290945,35,5,30,1.3440024852752686,False,statevector,,0.0,136.59221749367305
arg,arginine,cb_vqe,-589.1606393356942,-595.17254,6.011900664305813,0.010101105579074284,32,6,36,1.4026856422424316,False,statevector,,0.0,381.85398631754055
asp,aspartic_acid,cb_vqe,-468.67550123382534,-502.76713,34.091628766174665,0.06780799048293921,31,6,36,1.3239808082580566,True,statevector,,0.0,265.9749816949022
cys,cysteine,cb_vqe,-576.1464983723508,-710.8573,134.71080162764918,0.18950470316285586,36,5,30,1.2924833297729492,False,statevector,,0.0,220.02464798346062
gly,glycine,cb_vqe,-278.27027408274944,-279.11151,0.8412359172505717,0.003013977880204839,38,5,30,1.2607228755950928,False,statevector,,0.0,101.7554398992348
