molecule_abbrev,molecule_name,algorithm,calculated_energy,reference_energy,error,relative_error,n_iterations,n_qubits,n_parameters,runtime_seconds,converged,backend_type,noise_model,noise_strength,hf_energy
ala,alanine,cb_vqe,-255.22501271698007,-200.14770430543388,-55.0773084115462,0.27518331325697293,79,8,48,4.926454067230225,True,statevector,,0.0,-200.14770430543388
arg,arginine,cb_vqe,-397.1173528245011,-349.463192822097,-47.65416000240407,0.13636388890507165,100,8,48,4.404174566268921,False,statevector,,0.0,-349.463192822097
asp,aspartic_acid,cb_vqe,-360.715543959571,-282.6751332272548,-78.04041073231622,0.27607808950628904,79,8,48,4.893541097640991,True,statevector,,0.0,-282.6751332272548
cys,cysteine,cb_vqe,-543.1783045198963,-496.98232912525503,-46.195975394641266,0.09295295363107053,93,8,48,4.97082257270813,False,statevector,,0.0,-496.98232912525503
gly,glycine,cb_vqe,-215.7114122496487,-178.5613557086287,-37.15005654102001,0.20805205243647681,88,8,48,5.160261631011963,True,statevector,,0.0,-178.5613557086287
