molecule_abbrev,molecule_name,algorithm,calculated_energy,reference_energy,error,relative_error,n_iterations,n_qubits,n_parameters,runtime_seconds,converged,backend_type,noise_model,noise_strength,hf_energy
ala,alanine,hva_vqe,-200.147704305434,-200.14770430543388,-1.1368683772161603e-13,5.680146975262084e-16,86,8,30,8.846485376358032,True,statevector,,0.0,-200.14770430543388
arg,arginine,hva_vqe,-349.46319282209754,-349.463192822097,-5.115907697472721e-13,1.4639331988468101e-15,57,8,10,1.7543120384216309,True,statevector,,0.0,-349.463192822097
asp,aspartic_acid,hva_vqe,-282.6974227546469,-282.6751332272548,-0.02228952739210399,7.88520982996565e-05,95,8,32,11.524932861328125,False,statevector,,0.0,-282.6751332272548
cys,cysteine,hva_vqe,-496.98233442716196,-496.98232912525503,-5.301906924159994e-06,1.066820008166477e-08,136,8,16,4.320566415786743,True,statevector,,0.0,-496.98232912525503
gly,glycine,hva_vqe,-178.56135570862878,-178.5613557086287,-8.526512829121202e-14,4.77511653923289e-16,86,8,30,11.937000274658203,True,statevector,,0.0,-178.5613557086287
